prompt,completion
" Ted: You do not understand, this girl is like a magnet to men... overkill.
"," Robin: I know a little something about loving to men... you see me as one of those magnets that can not put a picture of your children on the fridge. But I am one of these magnets... that can pick up cars in scrap yards...! (Robin returns to the table where she finds a man with Maggie) Who is it?
"
" Maggie: Robin, this is a good friend of Jim's work.
"," Robin: Oh, well... hello you!
"
" Maggie: You're too funny!
"," Robin: Funny? I think it's hilarious. In fact, I liked so much that I think I'm pissed.
"
" Jim: I'd better go. I go to the first of this photo exhibition we talked about at work. I have a ticket if you want more?
"," Robin: I'd love to!
"
" Ted: Hello?
"," Robin: Ted, change of plans!
"
" Jim: You could go to the bar, Maggie is still there?
"," Robin: Oh, it's not possible! I love pictures of dogs ironic. You got it there with the dog Welsh dwarf who is a missionary?
"
" Jim: I'll take a taxi, I feel bad for leaving Maggie alone.
"," Robin: And if you took a glass of wine first? (It shatters his glass on it voluntarily) Oooh boy! I'm dirty, it's me! I'm just a dirty, dirty girl... that would defeat the second base with a friend of a friend.Tui love it! It's pig!
"
" Jim: I'll call Maggie to see what it does.
"," Robin: Oh my God, Maggie, Maggie, Maggie. Leave her alone!Lord, she goes out with Ted tonight.
"
" Jim: Ted? And Devon?
"," Robin: They have broken.
"
" Jim: Maggie is single?
"," Robin: It tells me nothing!
"
" Ted: Wait, where is Maggie?
"," Robin: She's gone!
"
" Ted: What?
"," Robin: I told him to return. You were like vultures... fighting for his carcass. Let her be single for once.
"
" Clint: I'm sorry, Ted.
"," Robin: Best...
"
" Barney: You're currently whining?
"," Robin: I know it's stupid, but... And the dragon. They are happy, you know?
"
" Lily: Seriously, Ted is fine? I mean, I know that the weekend was hard, but hey... it's weird radio silence.
"," Robin: I know. His mother called such five times to ask where he was.
"
" Barney: Sorry Robin. They are all out of pretzels. And I know how you're emotional. (He gives her a stack of paper towels) Shh. Leave it alone.
"," Robin: Okay! Okay, I... I cried during the song Clint.
"
" Lily: Ted, where were you?
"," Robin: Is that okay?
"
" Ted: So, I thought this piece would be the desktop. You see, a place just for dad. I mean, kids can come if they read a book, but no toy. This is not about to hold my love. It is rather a question of drawing a boundary.
"," Robin: Whoa.
"
" Lily: Ted, you can not go on like this where you will make your life. It does not work like that.
"," Robin: Yeah, I agree. This is perhaps the dumbest thing you've ever done.
"
" Marshall: Okay? We all did stupid stuff in our lives. For example, I remember once when I put the rocket in the bathroom and tried to put them to dry in the microwave.
"," Robin: My God, you had to be completely stuffed.
"
" Barney: No, it's too dumb to whether adult. It should be child when it happened.
"," Robin: Children? Why...
"
" Lily: Bourre.
"," Robin: Bourre.
"
" Barney: You know, I'm glad Robin have guessed. Because it is really sensitive and fragile. I talk about the times she cried during the song Clint. And while I whisper, I hope she hears me.
"," Robin: It was not me!
"
" Lily: What?
"," Robin: It's not me who cried during the song Clint.
"
" Flashback
"," Robin: Are you crying?
"
" Barney: I know it's silly, but... And the dragon. They are happy, you know?
"," Robin: Not as much as me.
"
" Barney: I shall spin you 500 dollars if it happened to you instead of me.
"," Robin: $ 500? No worries.
"
" Marshall: Exactly. Now, I currently drive the car of my brother in the opposite direction on I-94. Now that was a big mistake. I was... a kid.
"," Robin: Wow, Barney. You've been crying about this guy or what?
"
" 10 minutes earlier...
"," Robin: Look, Barney, I support most all these jokes about me crying. And if I claim to prove it was you who was crying, that you would not be a problem?
"
" Barney: Of course.
"," Robin: I made a mistake in letting you go, right? Your pen1s is huge.
"
" The man was taken on a stretcher.
"," Robin: Hey, good, good news is that the inspector has killed some cockroaches at the time of impact.
"
" Barney: Okay, that's good. Well, I invented the last, but everything else, I swear it was true. Come on, man. Your mother is a cougar.
"," Robin: Wait, I thought you said that a cougar could not be more than 50 years.
"
" Ted goes out and leaves the other in the dilapidated house.
"," Robin: It was our turn.
"
" (Lily and Robin arrive)
"," Robin: Hey.What's with the blackboard?
"
" Barney: Something strange is going on. I was down at the hardware store trying to get a little somethin' somethin'.
"," Robin: Wait. You go to the hardware store to pick up girls?
"
" Barney: There are four kinds of women who go to the hardware store by themselves.
"," Robin: Of course there are.
"
" Barney: Oh. No. Robin.
"," Robin: You're going blind, and you're trying to soak up all the beauty in the world before the darkness descends.
"
" Lily: Oh, Barney, you're never gonna figure out which one of these is the mystery woman. All of these women have a right to hate you.
"," Robin: Oh, Lily, come on, lighten up. I mean, any girl who's gonna be with a guy like Barney and do this or that, or this and that, or do this with those in that... I mean, she should have known what she was getting into.
"
" Lily: The girl who thought he had 12 hours to live has way more cause to ruin his life than the girl he faked proposed to.
"," Robin: It's fake proposal girl. I mean, she hired a wedding planner!
"
" Ted: It's 12 hours to live! That girl flew them both to Paris!
"," Robin: Oh, she only bought him a one-way ticket!
"
" Marshal, Lily and Ted: 12 hours to live!
"," Robin: Damn it!
"
" Ted: Kidney!
"," Robin: Jorge Posada!
"
" Ted: You got to go scuba instructor.
"," Robin: You're kidding me!
"
" Ted: Prince of Norway! How could it not be Prince of Norway?!
"," Robin: Barney, you're the tiebreaker.
"
" Barney: Sorry, but I did sleep with that girl twice. As Barney and Larney. Okay, we're down to the Final Four. What do you think, people? Come on, dig deep.
"," Robin: Oh! I can't decide. It could be any one of them.
"
" Barney: No, the worst part is that we still have no idea who my stalker is.
"," Robin: Well, that's because you're going about this all wrong. I mean, why chase someone who's following you? All you need to do is go down to the bar, hit on someone, and wait until she turns up.
"
" Barney: That's not a bad idea.
"," Robin: I'll pretend to be the girl that you're hitting on.
"
" Ted: I don't know. That's a lot riding on a girl who giggles when she lies.
"," Robin: I do not.
"
" Ted: Have you ever fallen asleep while eating ribs?
"," Robin: No. Look, I can do this, okay? I mean, how else are you going to find out who this girl is.
"
" Barney: I'm in.
"," Robin: Okay, here's how it's gonna work. Now, Lily...
"
" (Robin starts imagining how it will go)
"," Robin:...she knows what you look like, so just hang out at the jukebox, and don't draw any attention to yourself. And the guys will be in the booth, just pretending to have a normal conversation.
"
" Barney: Talking, we should be talking. Words. Here are words. Why is this so hard? Laughter!
"," Robin: And then I'll come in, looking hot as all hell.
"
" Man: Wow, you are gorgeous. Oh, God, I know that's awful.
"," Robin: I just, uh.... Shh, go away. But come back later. And then Barney will make his move.
"
" Barney: Hey, there, how are you doing?
"," Robin: Fine, Barney. I mean, um, fine, stranger.
"
" Barney: Wow, you really are awful at this, aren't you?
"," Robin: Get your hand off my thigh, Barney.
"
" Barney: It's supposed to look like we're about to hook up, Robin.
"," Robin: You know I'm curious. What do you say to these girls to get them to come home with you?
"
" Barney: Usually I just lean in and whisper this one thing in their ear. You're a little turned on right now, aren't you?
"," Robin: No. Oh. Look, somebody's watching us. Make your move to the bathroom.
"
" Barney: What? What?
"," Robin: Barney, I'm sorry, that's my friend Sally from work. We just ran into each other.
"
" Ted: No, I mean I'm seriously going to kill him.
"," Robin: I don't care how unpleasant it is. You have to talk to him.
"
" Ted's mother: Not now.
"," Robin: Okay, if you don't, I will.
"
" Ted: Hey, Marshall.
"," Robin: Hey.
"
" Barney: How could your parents not know about me? I'm delightful.
"," Robin: To us, sure, in very small, infrequent doses. I mean, come on, you're not exactly the kind of friend parents want their kid to have.
"
" Ted's father: Hello.
"," Robin: Hello.
"
" Ted's father: A real looker.
"," Robin: That's funny, I didn't even ""look"" in the mirror today. That's not anything, is it? So, I made a reservation at San Marino tonight for 8:00.
"
" Barney: I know.
"," Robin: How are we supposed to get a table at Casa A Pezzi? They're booked for weeks.
"
" In the kitchen.
"," Robin: What's the matter with you? I'm his girlfriend, and I'm not even trying that hard. Way to wreck the curve, kiss-ass.
"
" Barney: Anyone up for a drink at MacLaren's?
"," Robin: No, I'm kind of tired.
"
" Ted's mother: Oh, you are just terrific. Isn't he, Susan?
"," Robin: Robin.
"
" The waitress (taking a photo): Smile!
"," Robin: I don't care how unpleasant it is. You have to talk to him.
"
" Ted's mother: Not now.
"," Robin: Okay, if you don't, I will.
"
" Ted: One last thing about my mom. She grills every single one of my girlfriends about when we're gonna get married and have kids.
"," Robin: But this is the first time she's meeting me.
"
" Ted: Doesn't matter. And you'll know it's coming when she mentions my cousin Stacy: six kids in five years. The woman's basically a ride at a water park.
"," Robin: But I don't want to get married and have kids. What am I supposed to say?
"
" Ted: You know what? You're an adult with perfectly valid opinions. You shouldn't have to apologize for them.
"," Robin: I'm gonna lie.
"
" Ted's mother (to Robin): So, dear...
"," Robin: Oh, boy.
"
" Ted's mother: Tell us what it's like being a journalist.
"," Robin: I'm just not ready.
"
" Ted's mother: Okay. No pressure.
"," Robin: Oh. Uh, I thought you, um... It's great.
"
" Ted: You lucked out with my mom last night, huh? What a relief, right?
"," Robin: Oh, absolutely. Whew, what a relief it is to know I'm the one girlfriend your mom doesn't want you to have kids with.
"
" Ted: Hooray?
"," Robin: I mean, did she really think that your college girlfriend Cheryl would pop out attractive children? 'Cause I've seen pictures, and, I'm sorry, that girl had a brow ridge like a caveman.
"
